Title,Description,Organization,Location,Type,Status,Tags,Expiry Date,Family Friendly,Remote,Added By,Admin Description,Giver Applications,Volunteers Required,Approved by Admin,Rejected by Admin
"I wanna help sort donations for Sebh’s fundraising Bazaar!","Help us prepare for the Sebh Bazaar by sorting and organizing donated items like toys, household goods, and more! Your efforts will ensure everything is ready to be sold at the fundraising event, which directly supports the essential services provided by Sebh to families and children in need. This hands-on, on-site task is perfect for those who enjoy organizing, tidying up, and working as part of a friendly team. It’s a rewarding way to contribute while seeing the difference your work makes. Bring a friend or join others to sort items and help Sebh continue creating a positive impact in the community.","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Retail, Working Inside, Working as part of a team",2026-10-31,No,No,"admin@joyfromgiving.com","Donation sorting, organizing items, preparing for fundraising Bazaar, sorting toys, household items, hands-on task, Sebh Bazaar preparation, helping families, charity support, on-site activity, teamwork, practical organizing tasks, community support, item categorization, creating impact, organizing goods, supporting children and families, fundraising preparation.",0,5,Yes,No
"I Wanna Help with Cooking for a Cause in Gozo!","Join us for a meaningful cooking experience in Gozo! We're seeking compassionate individuals who love cooking and want to help lead engaging sessions for participants in a rehabilitation program. Through your culinary skills, you can brighten their path to recovery and bring warmth to their journey. This one-time opportunity is perfect for those who believe in the power of food to connect and heal. Let’s make a difference together, one recipe at a time!","OASI Foundation GOZO","Victoria, Gozo",One-time,Active,"Working Inside, Working with people, Anything with Food",2025-06-30,No,No,"admin@joyfromgiving.com","Cooking, rehabilitation, culinary, well-being, recovery, care, cooking sessions, Gozo, meaningful, one-time activity, help others, food impact, teamwork, compassionate tasks.",0,N/A,Yes,No
"I want to accompany someone at Case Leone XIII","Many residents at Casa Leone XIII retirement home don't have regular visitors, and this is your chance to make a meaningful difference in someone's life. By simply spending time with a resident, you can bring comfort, companionship, and joy. Whether sharing stories, taking a walk, or simply sitting together, your presence will brighten their day. This heartwarming opportunity is perfect for anyone who loves connecting with others and offering kindness. It's a beautiful way to create special memories and bring happiness to those who need it most."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Family Friendly, Seniors and People with Disabilities, Working with people",2025-11-30,Yes,No,"admin@joyfromgiving.com","befriending, companionship, Casa Leone XIII, retirement home, visiting, elderly care, meaningful connections, social engagement, friendship, seniors, comfort, brighten lives, community, emotional support, human connection.",0,10+,Yes,No
"I want to be a Site Officer at Mellieħa Red Tower!","Join Din l-Art Ħelwa in preserving Malta's cherished heritage sites. As a site officer, you'll contribute to the smooth operation of historical locations across the island. This family-friendly task is ongoing and flexible, requiring only a few hours per week. Work alongside a small group of like-minded individuals and immerse yourself in the rich history of Malta while making a lasting impact. Together, let's safeguard these cultural gems for future generations."," Din l-Art Helwa","Mellieħa, Malta",Ongoing,Active,"Family Friendly, Educational, Working with people",2025-12-31,Yes,No,"admin@joyfromgiving.com","heritage, Malta, historical sites, site officer, cultural preservation, heritage protection, Din l-Art Ħelwa, family-friendly, teamwork, cultural legacy, ongoing tasks, flexible volunteering, preserving history, Malta heritage, small groups, historical treasure.",0,4,Yes,No
"I want to be a Site Officers at Dwejra Tower in Gozo! ","Join Din l-Art Ħelwa in preserving Malta's cherished heritage sites. As a site officer, you'll contribute to the smooth operation of historical locations across the island. This family-friendly task is ongoing and flexible, requiring only a few hours per week. Work alongside a small group of like-minded individuals and immerse yourself in the rich history of Malta while making a lasting impact. Together, let's safeguard these cultural gems for future generations."," Din l-Art Helwa","Dwejra Tower, Triq il-Ġebla tal-Ġeneral, San Lawrenz, Malta",Ongoing,Active,"Family Friendly, Arts and Culture, Working with people",2026-01-31,Yes,No,"admin@joyfromgiving.com","heritage, Gozo, historical sites, site officer, cultural preservation, heritage protection, Din l-Art Ħelwa, family-friendly, teamwork, cultural legacy, ongoing tasks, flexible volunteering, preserving history, Malta heritage, small groups, historical treasure.",0,4,Yes,No
"I want to be part of the Bee Savers Malta Xemxija Pilot Project! ","We are seeking enthusiastic volunteers to join us in planting native trees and creating a sustainable environment for bees and other wildlife. Your involvement can make a significant impact on the health of our ecosystem.","Bee Savers Malta ","Xemxija, Malta",Ongoing,Active,"Animal care, Environmental, Maintenance, Working as part of a team, Working Outdoors",2025-06-29,Yes,No,"admin@joyfromgiving.com","Bee Savers Malta, Xemxija Pilot Project, native tree planting, sustainable environment, bee conservation, wildlife habitat, biodiversity, ecosystem health, environmental project, reforestation, nature preservation, eco-friendly, pollinator support, sustainable growth, hands-on activities, green initiatives, planting trees, community engagement, outdoor volunteering.",0,10+,Yes,No
"I Want to Cultivate Joy Through Gardening!","If you love the outdoors and find joy in gardening, this is the perfect opportunity to share your passion. Casa Leone XIII invites you to join their elderly residents in nurturing their garden. Together, you'll plant flowers, care for greenery, and enjoy the fresh air while fostering a sense of accomplishment and connection. Whether you have a green thumb or are just willing to dig in, your presence will bring life and joy to the garden and its caretakers. This heartwarming experience is a chance to cultivate not only plants but also meaningful relationships."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Health and Human Services, Seniors and People with Disabilities, Working with people, Working Outdoors",2024-12-31,Yes,No,"admin@joyfromgiving.com","gardening, Casa Leone XIII, retirement home, garden care, elderly residents, planting, greenery, outdoor activity, cultivating joy, community engagement, senior care, meaningful connections, outdoor engagement, nature, garden maintenance, shared experiences.",0,4,Yes,No
"I want to deliver meals on Christmas Day!","Join LOOP (Djakonija) this Christmas Day in making a difference! We’re looking for caring drivers to deliver hot meals to those in need from 11am to 3pm. Imagine the smiles you’ll bring as you provide comfort and warmth during this festive season. With your help, we can ensure no one is left without a meal or a kind gesture on this special day. Whether you’re joining alone or bringing a friend, your contribution will make this Christmas truly magical. Let’s make it a day of love, care, and giving back!

https://loop.mt/Christmasvols/","Djakonija - Malta Diocese","Malta",One-time,Active,"Anything with Food, Social/Care giving, Working Outdoors, Working with people",2024-12-25,Yes,No,"admin@joyfromgiving.com","drivers, deliver meals, Christmas Day, festive season, LOOP, Djakonija, hot meals, people in need, community help, holiday cheer, care, warmth, Christmas charity, festive volunteering, meal delivery, December 25 task, food distribution, local outreach, kind gesture, compassion, support network, Christmas giving, helping hands, make a difference, impactful acts, festive outreach.",0,6,Yes,No
"I Want to Foster Companionship for Young Persons with Disabilities!","Equal Partners Foundation is looking for individuals to develop companionship with young persons with disabilities or learning difficulties during their weekly group activities in Msida. Your role will focus on creating meaningful connections, offering friendship, and supporting participants as they engage in fun and enriching activities. This is a wonderful opportunity to make a difference by building trust and fostering a sense of belonging. No special skills are required—just your willingness to listen, connect, and offer a caring presence. Join us to inspire joy and friendship in these young lives.","Equal Partners Foundation","Msida, Malta",Ongoing,Active,"Children/Young people, Seniors and People with Disabilities, Working with people",2027-11-30,No,No,"admin@joyfromgiving.com","companionship, young persons, disabilities, learning difficulties, social connection, friendship, Equal Partners Foundation, Msida, weekly group activities, trust-building, belonging, inclusive activities, support, caring, joy, community service, nurturing relationships, encouragement, social inclusion.",0,5,Yes,No
"I want to help at the Building Bridges Bazaar!","Step into an exciting role as a Bazaar Assistant with the Building Bridges organization! Your support will help ensure the success of our bazaars, which bring people together in a vibrant and welcoming community setting. From setting up stalls to engaging with visitors and ensuring smooth operations, your enthusiasm will create a joyful atmosphere for everyone involved. Whether you enjoy organizing, interacting with people, or simply being part of a lively event, this is your chance to make a difference. Join us in spreading smiles, fostering connections, and supporting a cause that matters. Your time and energy will have a lasting impact!","Building Bridges","Mosta, Malta",One-time,Active,"Working with people, Retail, Working Outdoors",2026-08-29,No,No,"admin@joyfromgiving.com","bazaar, community event, Building Bridges, assistant, volunteering, social connection, helping hands, local engagement, organizing, team support, fundraising, interactive events, vibrant atmosphere, teamwork, event support.",3,6,Yes,No
"I want to Help Bee Savers Malta with installing irrigation systems ","We are delighted to invite you to join the Bee Savers Organisation in our latest initiative to install irrigation systems. These systems are crucial for maintaining healthy plant growth and ensuring that the habitats we create for bees and other pollinators remain vibrant and sustainable. Your help in this project can significantly contribute to the conservation of these essential creatures.","Bee Savers Malta ","Malta",Ongoing,Active,"Educational, Environmental, Animal care, Maintenance, Working as part of a team, Working Outdoors",2025-08-30,Yes,No,"admin@joyfromgiving.com","irrigation systems, bee conservation, pollinator habitats, environmental projects, sustainable gardening, plant health, eco-friendly solutions, habitat maintenance, water management, Bee Savers Organisation, conservation efforts, biodiversity, ecosystem support, green initiatives, nature preservation, sustainability, outdoor activities, environmental awareness.",0,7,Yes,No
"I want to help care for kids at Dar Santa Tereża!","This task involves helping care for young children residing in our residential services at Dar Santa Tereża in Zurrieq. Volunteers will engage with the children, providing them with support, attention, and care in a safe, nurturing environment. Your efforts will make a direct impact on their daily lives and help them feel valued and secure. This is a regular opportunity to make a difference by dedicating time and energy to these wonderful kids. Join us in creating memorable experiences and supporting their journey!"," Dar Santa Tereza","Żurrieq, Malta",Ongoing,Active,"Children/Young people, Educational, Social/Care giving, Working as part of a team",2025-11-30,No,No,"admin@joyfromgiving.com","caring for children, Dar Santa Tereża, Zurrieq, child support, nurturing environment, kids care, residential services, child development, regular volunteering, children’s wellbeing, supportive engagement, family-friendly activities, impactful volunteering.",2,4,Yes,No
"I Want to Help E.F.R.U with General Maintenance Tasks!","E.F.R.U is looking for volunteers to assist with general maintenance tasks, ensuring their facilities and equipment remain in excellent working order. This essential work supports the organization's ability to respond to emergencies effectively. Whether it’s repairing, organizing, or maintaining equipment, your efforts will make a big difference. No advanced skills are required—just a willingness to help and an eye for detail. Join the E.F.R.U team and be part of an important mission to support their life-saving operations."," E.F.R.U","Marsa, Malta",One-time,Active,"Maintenance",2025-08-30,No,No,"admin@joyfromgiving.com","E.F.R.U, general maintenance, facilities upkeep, repair, maintenance tasks, organize, technical support, emergency readiness, volunteering, upkeep, repairs, life-saving operations, proactive, equipment maintenance, community service, support services.",0,3,Yes,No
"I Want to Help Empower Young Women Through Literacy!","Join us in creating opportunities for young women by supporting their literacy journey! This ongoing initiative in Sliema seeks enthusiastic individuals to assist young women during their classes and group sessions. With just one hour a week, you can help build confidence and open doors to new possibilities. Whether you're assisting tutors or guiding learners directly, your efforts will make a meaningful impact. ","FIDEM Foundation","Sliema, Malta",Ongoing,Active,"Educational, Working Inside, Working as part of a team, Working with people",2025-08-30,No,No,"admin@joyfromgiving.com","empower, literacy, women’s education, teaching support, group facilitation, tutoring assistance, Sliema, weekly commitment, education for women, team engagement, ongoing program, learning assistance, empowering women, inclusive education, helping tutors.",0,3,Yes,No
"I want to help kids through Arts!","Join us in making a meaningful difference by leading art sessions for afterschool club participants. Use your artistic talents to inspire creativity, support recovery, and nurture well-being. These sessions are designed to uplift individuals through the therapeutic power of art. Whether you're a seasoned artist or passionate about helping others through creativity, this opportunity is for you. Together, we can bring color and hope to lives, one session at a time!","Optimist Club of Malta - IKBER MAGHNA PROJECT","Malta",One-time,Active,"Arts and Culture, Children/Young people, Working Inside, Working with people, Working as part of a team",2025-05-30,No,No,"admin@joyfromgiving.com","art sessions, therapeutic art, afterschool club, recovery, well-being, healing through art, compassionate artists, creative leadership, artistic mentorship, inspire creativity, art workshops, helping others through art, volunteer artists, art therapy, community arts.",0,2,Yes,No
"I want to help kids with their homeworks and studies after school hours","Join us in making a difference in the lives of young children in Msida! We’re looking for enthusiastic individuals to help with after-school homework sessions. Your guidance can spark confidence, foster learning, and support academic success. Sessions are conducted regularly in a welcoming environment that encourages growth and joy. This is a fulfilling opportunity to engage with children and help them achieve their goals. If you love working with kids and have a passion for education, this is the perfect way to make an impact!","Optimist Club of Malta - IKBER MAGHNA PROJECT","Msida, Malta",Ongoing,Active,"Educational, Children/Young people, Working Inside, Working with people, Working as part of a team",2025-05-29,No,No,"admin@joyfromgiving.com","homework help, tutoring, Msida, children, education, after-school, academic support, Malta, confidence building, mentoring, inspiring kids, regular sessions, educational help, study assistance, team engagement, family-friendly tasks.",0,5,Yes,No
"I Want to Help Kids with thier Homeworks Afterschool in Swieqi","We’re looking for enthusiastic individuals to help with after-school homework sessions. Your guidance can spark confidence, foster learning, and support academic success. Sessions are conducted regularly in a welcoming environment that encourages growth and joy. This is a fulfilling opportunity to engage with children and help them achieve their goals. If you love working with kids and have a passion for education, this is the perfect way to make an impact!a.  ","Optimist Club of Malta - IKBER MAGHNA PROJECT","Swieqi, Malta",Ongoing,Active,"Children/Young people, Educational, Working with people, Working as part of a team, Working Inside",2025-07-31,No,No,"admin@joyfromgiving.com"," homework help, tutoring, Swieqi, children, education, after-school, academic support, Malta, confidence building, mentoring, inspiring kids, regular sessions, educational help, study assistance, team engagement, family-friendly tasks.

",0,7,Yes,No
"I Want to Help Others Through Arts and Creativity!","Join us in using the transformative power of art to support individuals on their journey to recovery. As a volunteer artist, you’ll lead art sessions for participants in a rehabilitation program, making a tangible impact on their well-being. With every brushstroke and creative moment, you’ll help inspire hope, build confidence, and nurture healing. If you’re passionate about using your artistic talents to make a difference, this rewarding opportunity in Gozo is perfect for you. Together, let’s unlock the potential of art to heal and uplift lives.","OASI Foundation GOZO","Victoria, Gozo",One-time,Active,"Arts and Culture, Health and Human Services, Educational, Working Inside, Working with people",2025-03-29,No,No,"admin@joyfromgiving.com","Art sessions, Gozo, rehabilitation, creativity, volunteer artist, art therapy, well-being, support, recovery, healing, compassionate, talented, inspiring, nurturing, confidence-building, transformative, artistic skills, make a difference, life-changing, emotional support, expressive arts, impactful, helping others, uplifting, creative therapy.",0,N/A,Yes,No
"I want to Help the Blue Door’s Administration and Organisation","Step into a meaningful role with Blue Door Foundation in Valletta, Malta. Help drive impactful literacy and numeracy programs by assisting in administrative tasks and organizational efforts. You’ll be part of a team fostering adult education, creating opportunities for growth and empowerment. This regular task offers a fulfilling chance to make a difference behind the scenes, ensuring the success of life-changing programs. Join us to share your organizational skills and passion for education while supporting our vibrant community.

","Blue Door Foundation ","Valletta, Malta",One-time,Active,"Administration, Working Inside, Working alone, Working with people",2026-01-27,No,No,"admin@joyfromgiving.com","Regular administrative tasks, organizing, literacy programs, numeracy programs, adult education, Blue Door Foundation, Valletta, Malta, community support, working indoors, teamwork, empowering education, impactful volunteering.",0,3,Yes,No
"I want to help the Sisters of Charity in their dopo-scuola afterschool mission!","Join hands with the Missionaries of Charity to make a difference in young lives. This ongoing initiative brings children and youths together after school for learning, homework, and fun. Volunteers play a crucial role in organizing and running the ""dopo-scuola"" program. Every session is a chance to inspire, support, and connect with young minds in a nurturing environment. The activity takes place on-site in Bormla, requiring at least one session per week. You can be part of a team that brings joy and purpose to the community. Gather your friends and create lasting memories while helping others flourish!

","Missionaries of Charity","Cospicua, Malta",Ongoing,Active,"Children/Young people, Educational, Working Inside, Working with people, Working as part of a team",2025-06-30,No,No,"admin@joyfromgiving.com","children, youth, education, after-school, homework help, fun activities, teamwork, nurturing, inspiring, engagement, Missionaries of Charity, community support, social care, after-school program, youth support, Bormla, ongoing activity, impactful, family-friendly, organizing, helping, mentoring",0,7,Yes,No
"I want to help with my IT knowledge edit and maintain the JoyFromGiving.com site","help from time to time JoyFromGiving.com our site that is programmed in Python, published with CSS and is stored on Azure. Support with the server, and link with the programmers, support of the site for the publishing and editing and training of our team when necessary.","www.JoyFromGiving.com  IT","your computer, but Preferably Malta for us to meet in person, and you to enjoy physically being part of the team.",Ongoing,Active,"Make a positive difference in the community, Improve the lives of others, Making a difference in the world, Helping Others, Working as part of a team, Working Independently, Community Development, Coding, Troubleshooting, Designing, Office Work, Studying, Building Electronics",2025-08-28,No,No,"admin@joyfromgiving.com","Software, maintenance, language",0,N/A,Yes,No
"I want to Plant Trees for Bees!","We are seeking enthusiastic volunteers to assist with planting native trees in key areas. Your participation will help create a sustainable habitat for bees and contribute to a healthier ecosystem.","Bee Savers Malta ","Malta",Ongoing,Active,"Educational, Environmental, Working Outdoors",2026-02-28,Yes,No,"admin@joyfromgiving.com","Bee Savers Malta, native tree planting, sustainable environment, bee conservation, wildlife habitat, biodiversity, ecosystem health, environmental project, reforestation, nature preservation, eco-friendly, pollinator support, sustainable growth, hands-on activities, green initiatives, planting trees, community engagement, outdoor volunteering.",0,6,Yes,No
"I Want to Share the Joy of Music with Casa Leone Residents","Music has the power to uplift spirits and create lasting memories, and Casa Leone XIII is inviting you to share that magic with their elderly residents. Whether you play an instrument, sing, or simply love music, your passion will create moments of joy and connection. These music sessions aim to engage and inspire, fostering a sense of community and celebration. No professional skills are needed—just a love for music and a willingness to share it. Join us in bringing melodies, rhythm, and harmony to the hearts of Casa Leone residents."," Casa Leone XIII - Retirement Home","Sliema, Malta",Ongoing,Active,"Working with people, Health and Human Services, Seniors and People with Disabilities, Arts and Culture, Educational, Working Inside",2026-01-01,Yes,No,"admin@joyfromgiving.com","music, Casa Leone XIII, retirement home, music sessions, elderly residents, singing, instruments, melodies, community engagement, joy through music, senior care, creating harmony, rhythm, meaningful connections, musical engagement, uplifting spirits.",0,N/A,Yes,No
"I wish to assist with assembling furniture for Sebh.","Help Sebh create a comfortable and welcoming space for those in need by assembling furniture for one of their residential services. This hands-on task is perfect for those who enjoy building, fixing, and contributing directly to a cause. You’ll work as part of a supportive team to assemble furniture that will make a real difference in the lives of children and families. No advanced skills are required, just a willingness to help and some physical capability for lifting and assembly. If you enjoy practical tasks and seeing your efforts take shape, this is a great opportunity. Bring a friend to make the experience even more rewarding!","Fondazzjoni Sebh","Hamrun, Malta",One-time,Active,"Maintenance, Working Inside, Working with people",2025-08-30,No,No,"admin@joyfromgiving.com","Furniture assembly, assembling furniture, practical tasks, teamwork, on-site activity, helping Sebh, residential services support, hands-on task, building furniture, creating homes, working with tools, supporting families, physical task, home setup, contributing to residential spaces, team-oriented tasks, making a difference, assembling items for charity",0,6,Yes,No
"I Wish to Be a Site Officer with Din l-Art Ħelwa!","Join Din l-Art Ħelwa in preserving Malta's cherished heritage sites. As a site officer, you'll contribute to the smooth operation of historical locations across the island. This family-friendly task is ongoing and flexible, requiring only a few hours per week. Work alongside a small group of like-minded individuals and immerse yourself in the rich history of Malta while making a lasting impact. Together, let's safeguard these cultural gems for future generations."," Din l-Art Helwa","Malta",Ongoing,Active,"Family Friendly, Arts and Culture, Working as part of a team, Working with people",2025-09-30,Yes,No,"admin@joyfromgiving.com","heritage, Malta, historical sites, site officer, cultural preservation, heritage protection, Din l-Art Ħelwa, family-friendly, teamwork, cultural legacy, ongoing tasks, flexible volunteering, preserving history, Malta heritage, small groups, historical treasure.",0,3,Yes,No
"I wish to brighten Sebh’s premises with paint and décor","Join us in brightening up Sebh’s premises by assisting with painting and room decorating. Your efforts will create a warm and welcoming environment for those who rely on Sebh’s services. This on-site, hands-on task involves painting walls, decorating rooms, and helping transform spaces into cheerful and inspiring places. It’s perfect for those who enjoy practical work, being creative, and seeing their efforts bring immediate results. No advanced skills are required, just a willingness to help, attention to detail, and some physical capability. Bring a friend or join the team to make Sebh’s spaces look their best while creating an atmosphere full of care and hope.","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Maintenance",2026-07-31,No,No,"admin@joyfromgiving.com","Painting rooms, decorating spaces, room transformation, premises painting, creative tasks, on-site activity, helping Sebh, brightening interiors, practical work, hands-on tasks, supporting families, teamwork, creating welcoming spaces, improving environments, wall painting, room décor, making a difference, revitalizing interiors, charity support, visual impact tasks",0,8,Yes,No
"I wish to empower special learners through IT tutoring!","Join us in shaping a brighter future for young immigrants and refugees. As an IT tutor, your role will be to support their educational journey and unlock their potential. If you have a passion for empowering diverse learners or experience working young adults with different cultural backgrounds, this is your chance to make a difference. Your guidance will provide them with essential IT skills, confidence, and opportunities for growth. Together, we can create a nurturing and inspiring learning environment that uplifts every student. Your time and dedication could change lives!t."," SPARK15","Valletta, Malta",Ongoing,Active,"Educational, Seniors and People with Disabilities, Working Inside, Working with people",2025-09-28,No,No,"admin@joyfromgiving.com","IT tutors,young learners, technology education, IT skills teaching, tutoring opportunities, educational support, mentoring, skill-building, empowering students, inspiring learners, technology mentoring, personal growth.

",0,3,Yes,No
"I wish to help in the maintenance at OASI ","We are looking for dedicated and skilled volunteer maintenance workers to assist in the upkeep of our premises. Your expertise in maintenance tasks can make a significant impact on the smooth operation and appearance of our facilities. If you have a passion for DIY and a few hours to spare, we would love to hear from you!","OASI Foundation GOZO","Victoria, Gozo ",Ongoing,Active,"Maintenance, Health and Human Services",2025-06-30,No,No,"admin@joyfromgiving.com","maintenance, upkeep, facilities improvement, DIY, repair, small group tasks, Gozo maintenance, skilled helpers, facility appearance, teamwork maintenance, regular tasks, couple of hours per week, small group volunteering.",0,5,Yes,No
"I Wish to Help others Through Music!","We are looking for talented and compassionate volunteer musicians to lead music sessions for individuals participating in a rehabilitation program. Your musical skills can make a significant impact on their journey to recovery and well-being. If you are passionate about using music to help others and have some time to spare, we would love to hear from you!","OASI Foundation GOZO","Victoria, Gozo",One-time,Active,"Arts and Culture, Social/Care giving, Working Inside, Working with people",2025-06-30,No,No,"admin@joyfromgiving.com","music sessions, musicians, music therapy, rehabilitation, healing, well-being, Gozo, Oasi Foundation, on-site, Arts and Culture, uplifting, joy, recovery, emotional support, creative engagement, community care.",0,2,Yes,No
"I wish to inspire and teach with SPARK15 as a Numeracy Tutor!","SPARK15 is seeking dedicated and compassionate numeracy tutors to empower imigrants and refugees in Malta. If you are passionate about supporting diverse learning journeys, cultural backgrounds and helping people unlock their potential, this is your chance to make a difference. With your expertise and kindness, you'll contribute to both their educational growth and personal development. Your involvement can spark joy and confidence in these lives, leaving a meaningful impact that lasts a lifetime. Join us and be a part of their inspiring journey!"," SPARK15","Valletta, Malta",Ongoing,Active,"Children/Young people, Educational, Seniors and People with Disabilities, Working Inside, Working with people, Working as part of a team",2025-07-28,No,No,"admin@joyfromgiving.com","SPARK15, numeracy tutors, young learners, diverse learning, educational growth, personal development, tutoring, teaching support, compassionate educators, empowering students, learning journeys, educational impact.",0,6,Yes,No
"I wish to inspire and teach with SPARK15 Literacy Tutors!","SPARK15 is seeking dedicated and compassionate literacy tutors to empower young individuals with literacy skills. If you are passionate about supporting diverse learning journeys and helping young adults unlock their potential, this is your chance to make a difference. With your expertise and kindness, you'll contribute to both their educational growth and personal development. Your involvement can spark joy and confidence in these lives, leaving a meaningful impact that lasts a lifetime. Join us and be a part of their inspiring journey!"," SPARK15","Valletta, Malta",Ongoing,Active,"Educational, Seniors and People with Disabilities, Working Inside, Working with people, Working as part of a team, Children/Young people",2025-04-28,No,No,"admin@joyfromgiving.com","SPARK15, literacy tutors, young learners, diverse learning, educational growth, personal development, tutoring, teaching support, compassionate educators, empowering students, learning journeys, educational impact.",0,N/A,Yes,No
"I Wish to Join Djakonija Malta for Parish-Based Support!","Djakonija Malta Church invites everyone to join their open invitation to help through your local parish. With the guidance of the Loop or Djakonija team, you can engage in meaningful tasks that support the community in various ways. This is a chance to make a difference in people’s lives and contribute to the spirit of care and collaboration. No special skills are required—just your willingness to lend a hand and make a positive impact. The activities are open for everyone, so bring along your friends or family. Be part of this heartwarming initiative and help create a stronger community.","Djakonija - Malta Diocese","Malta",One-time,Active,"Social/Care giving, Working as part of a team, Working with people",2025-05-31,Yes,No,"admin@joyfromgiving.com","support, Djakonija, Malta Church, parish, Loop team, community service, teamwork, local help, open invitation, collaboration, parish-based, family-friendly, care, guidance, meaningful tasks, strengthen community, engagement, positive impact, help, teamwork.",0,10,Yes,No
"I wish to join the Sisters of Charity in their Prayer Intentions!","If for one reason or another you cannot help others directly, you have the opportunity to join the Sisters of Charity in their prayer intentions.  A lot of families and individuals in needs approach the Sisters and ask for prayers of intervention.  You will be in contact with the Sisters who will guide you.  ","Missionaries of Charity","Cospicua, Malta",Ongoing,Active,"Family Friendly, Social/Care giving, Working alone",2025-07-31,Yes,Yes,"admin@joyfromgiving.com","Sisters of Charity
prayer intentions
families in need
individuals in need
prayers of intervention
helping others
guidance",0,N/A,Yes,No
"I wish to join the Sisters of Charity in their Prayer Intentions!","If for one reason or another you cannot help others directly, you have the opportunity to join the Sisters of Charity in their prayer intentions.  A lot of families and individuals in needs approach the Sisters and ask for prayers of intervention.  You will be in contact with the Sisters who will guide you.  ","Missionaries of Charity","Cospicua, Malta",Ongoing,Active,"Family Friendly, Social/Care giving, Working alone",2025-07-31,Yes,Yes,"admin@joyfromgiving.com","Sisters of Charity
prayer intentions
families in need
individuals in need
prayers of intervention
helping others
guidance",0,N/A,Yes,No
"I Wish to Lend a Hand in Dar il-Kaptan’s Kitchen!","Join us in creating a welcoming and delicious experience in the kitchen at Dar il-Kaptan! We’re looking for a dedicated individual to assist with light kitchen duties for a few hours a week. Tasks include simple meal prep, tidying up, and ensuring the kitchen remains a clean and organized space. You don’t need professional skills—just a love for helping others, a cheerful attitude, and a knack for teamwork. Together, we can make every meal a special one!"," Dar il-Kaptan, Imtarfa","Mtarfa, Malta",Ongoing,Active,"Seniors and People with Disabilities, Working with people, Working Inside, Children/Young people",2026-07-31,No,No,"admin@joyfromgiving.com","kitchen helper, meal preparation, cleaning, teamwork, Dar il-Kaptan, basic cooking, kitchen organization, food safety, few hours a week, cheerful environment, helping others, cooking assistance, organized, tidy workspace, community care, friendly atmosphere.",0,3,Yes,No
"I Wish to Lend a Helping Hand with the Bazaar general maintenance!","Be an essential part of the Building Bridges bazaars by volunteering as a General Hand! Your support in general maintenance and upkeep will ensure our bazaars are welcoming and successful. From setting up stalls to keeping things organized and functional, your efforts will play a vital role in creating a positive experience for all. This is the perfect opportunity for those who enjoy hands-on tasks and want to make a tangible impact. Join us in supporting a meaningful cause while fostering a sense of community. Every task you complete helps build bridges and strengthens connections!","Building Bridges","Mosta, Malta",Ongoing,Active,"Maintenance, Working Outdoors, Working as part of a team, Working alone, Health and Human Services",2026-01-01,No,No,"admin@joyfromgiving.com","general hand, maintenance, upkeep, bazaars, Building Bridges, volunteering, event support, community, hands-on work, organizing, teamwork, setup, event preparation, practical assistance, impact.",0,N/A,Yes,No
"I wish to maintain the garden at Fra Diego Residence.","Help us keep the garden at Fra Diego Residence thriving and beautiful. This task involves general gardening, maintenance, and upkeep to create a peaceful space for residents. You’ll assist with tasks such as weeding, planting, watering, and tidying up the garden area. It’s a hands-on, on-site activity perfect for those who enjoy working outdoors and seeing their efforts bloom. This opportunity is great for individuals who appreciate nature and want to contribute to creating a calming environment for those in need. Bring a friend or work as part of a supportive team to make the garden a place of serenity and joy.","Fondazzjoni Sebh","Hamrun, Malta",Ongoing,Active,"Family Friendly, Environmental, Maintenance, Working Outdoors",2026-01-31,Yes,No,"admin@joyfromgiving.com","Gardening tasks, garden maintenance, Fra Diego Residence, outdoor activity, garden upkeep, planting flowers, weeding, watering plants, maintaining green spaces, working outdoors, nature care, hands-on task, supporting Sebh, creating a peaceful garden, teamwork, physical activity, beautifying spaces, helping residential services, garden care, natural environment support.",0,4,Yes,No
"I Wish to Nurture Nature at Dar il-Kaptan’s Garden","Join us in maintaining and beautifying our garden at Dar il-Kaptan! Your efforts will directly contribute to creating a tranquil and flourishing space for everyone to enjoy. Whether you’re passionate about plants or just want to lend a hand outdoors, this task is a great way to connect with nature and make a difference. Let's work together to keep our garden thriving and welcoming for all."," Dar il-Kaptan, Imtarfa","Mtarfa, Malta",Ongoing,Active,"Environmental, Maintenance, Working Outdoors",2025-07-31,Yes,No,"admin@joyfromgiving.com","gardening, garden maintenance, outdoor activities, Dar il-Kaptan, horticulture, plant care, teamwork, landscaping, community project, green space upkeep, nature lovers, gardening tasks, outdoor work, caring for plants, peaceful environment, flourishing garden.",0,4,Yes,No
